;player;mat;inns;not_outs;runs;highest_inns_score;ave;balls_faced;batting_strike_rate;100;50;0;4s;6s;rookie_year;final_year;country;career_length
0;DG Bradman ;52;80;10;6996;334;9994.0;9800;58.6;29;13;7;626;6;1928;1948;AUS;20
1;HC Brook ;12;20;1;1181;186;6215.0;1287;91.76;4;7;1;141;23;2022;2023;ENG;1
2;AC Voges ;20;31;7;1485;269;6187.0;2667;55.68;5;4;2;186;5;2015;2016;AUS;1
3;RG Pollock ;23;41;4;2256;274;6097.0;1707;54.48;7;11;1;246;11;1963;1970;SA;7
5;GA Headley ;22;40;4;2190;270;6083.0;416;56.0;10;5;2;104;1;1930;1954;WI;24
6;H Sutcliffe ;54;84;9;4555;194;6073.0;6558;34.59;16;23;2;202;6;1924;1935;ENG;11
7;E Paynter ;20;31;5;1540;243;5923.0;1288;45.88;4;7;3;125;4;1931;1939;ENG;8
8;KF Barrington ;82;131;15;6806;256;5867.0;4957;42.42;20;35;5;591;27;1955;1968;ENG;13
9;ED Weekes ;48;81;5;4455;207;5861.0;0;0.0;15;19;6;258;2;1948;1958;WI;10
10;WR Hammond ;85;140;16;7249;336;5845.0;7491;38.07;22;24;4;419;27;1927;1947;ENG;20
11;SPD Smith ;105;187;23;9514;239;5801.0;17777;53.51;32;40;9;1042;53;2010;2024;AUS;14
12;GS Sobers ;93;160;21;8032;365;5778.0;4063;53.58;26;30;12;593;32;1954;1974;WI;20
13;KC Sangakkara ;134;233;17;12400;319;5740.0;22882;54.19;38;52;11;1491;51;2000;2015;SL;15
14;JB Hobbs ;61;102;7;5410;211;5694.0;5363;46.22;15;28;4;276;8;1908;1930;ENG;22
16;CL Walcott ;44;74;7;3798;220;5668.0;0;0.0;15;14;1;107;11;1948;1960;WI;12
17;L Hutton ;79;138;15;6971;364;5667.0;2844;39.34;19;33;5;358;7;1937;1955;ENG;18
18;JH Kallis ;166;280;40;13289;224;5537.0;28903;45.97;45;58;16;1488;97;1995;2013;ICC/SA;18
19;GE Tyldesley ;14;20;2;990;122;5500.0;178;29.21;3;6;2;37;2;1921;1929;ENG;8
21;KS Williamson ;96;168;16;8263;251;5436.0;16052;51.47;29;33;10;914;21;2010;2023;NZ;13
22;CA Davis ;15;29;5;1301;183;5420.0;665;35.48;4;4;1;65;1;1968;1973;WI;5
23;VG Kambli ;17;21;1;1084;227;5420.0;1823;59.46;4;3;3;124;6;1993;1995;IND;2
24;GS Chappell ;87;151;19;7110;247;5386.0;13079;51.53;24;31;12;755;16;1970;1984;AUS;14
25;AD Nourse ;34;62;7;2960;231;5381.0;108;63.88;9;14;3;115;6;1935;1951;SA;16
26;SR Tendulkar ;200;329;33;15921;248;5378.0;29437;54.04;51;68;14;2058;69;1989;2013;IND;24
27;DJ Mitchell ;20;31;4;1452;190;5377.0;2644;54.91;5;9;1;144;27;2019;2023;NZ;4
28;BC Lara ;131;232;6;11953;400;5288.0;19753;60.51;34;48;17;1559;88;1990;2006;ICC/WI;16
29;M Labuschagne ;46;82;6;3996;215;5257.0;7572;52.77;11;19;4;449;12;2018;2024;AUS;6
30;Javed Miandad ;124;189;21;8832;280;5257.0;15164;45.99;23;43;6;788;48;1976;1993;PAK;17
31;R Dravid ;164;286;32;13288;270;5231.0;31258;42.51;36;63;8;1654;21;1996;2012;ICC/IND;16
32;Mohammad Yousuf ;90;156;12;7530;223;5229.0;14372;52.39;24;33;11;957;51;1998;2010;PAK;12
33;Younis Khan ;118;213;19;10099;313;5205.0;19375;52.12;34;33;19;1082;70;2000;2017;PAK;17
34;RT Ponting ;168;287;29;13378;257;5185.0;22782;58.72;41;62;17;1509;73;1995;2012;AUS;17
35;J Ryder ;20;32;5;1394;201;5162.0;2035;44.86;3;9;1;102;3;1920;1929;AUS;9
36;A Flower ;63;112;19;4794;232;5154.0;10636;45.07;12;27;5;543;20;1992;2002;ZIM;10
37;MEK Hussey ;79;137;16;6235;195;5152.0;12436;50.13;19;29;12;685;39;2005;2013;AUS;8
38;S Chanderpaul ;164;280;49;11867;203;5137.0;27395;43.31;30;66;15;1285;36;1994;2015;WI;21
39;SM Gavaskar ;125;214;16;10122;236;5112.0;14184;43.35;34;45;12;908;26;1971;1987;IND;16
40;SR Waugh ;168;260;46;10927;200;5106.0;22461;48.64;32;50;22;1175;20;1985;2004;AUS;19
41;ML Hayden ;103;184;14;8625;380;5073.0;14349;60.1;30;29;14;1049;82;1994;2009;AUS;15
42;AB de Villiers ;114;191;18;8765;278;5066.0;16077;54.51;22;46;8;1024;64;2004;2018;SA;14
43;AR Border ;156;265;44;11174;205;5056.0;27002;41.09;27;63;11;1161;28;1978;1994;AUS;16
44;JE Root ;135;247;20;11416;254;5029.0;20113;56.75;30;60;12;1247;43;2012;2023;ENG;11
45;IVA Richards ;121;182;12;8540;291;5023.0;9613;69.77;24;45;10;952;84;1974;1991;WI;17
46;DCS Compton ;78;131;15;5807;278;5006.0;2731;38.81;17;28;10;342;3;1937;1957;ENG;20
47;DPMD Jayawardene ;149;252;15;11814;374;4984.0;22959;51.45;34;50;15;1387;61;1997;2014;SL;17
48;Inzamam-ul-Haq ;120;200;22;8830;329;4960.0;16345;54.02;25;46;15;1105;48;1992;2007;ICC/PAK;15
49;FMM Worrell ;51;87;9;3860;261;4948.0;488;40.16;9;22;11;240;11;1948;1963;WI;15
50;CP Mead ;17;26;2;1185;182;4937.0;619;30.04;4;3;3;38;0;1911;1928;ENG;17
51;V Sehwag ;104;180;6;8586;319;4934.0;10441;82.23;23;32;16;1233;91;2001;2013;ICC/IND;12
52;Abid Ali ;16;26;2;1180;215;4916.0;2445;48.26;4;3;2;148;5;2019;2021;PAK;2
53;V Kohli ;113;191;11;8848;254;4915.0;15924;55.56;29;30;14;991;26;2011;2024;IND;13
54;MJ Clarke ;115;198;22;8643;329;4910.0;15456;55.92;28;27;9;978;39;2004;2015;AUS;11
55;KC Bland ;21;39;5;1669;144;4908.0;885;37.74;3;9;2;123;20;1961;1966;SA;5
56;B Mitchell ;42;80;9;3471;189;4888.0;158;29.11;8;21;3;41;1;1929;1949;SA;20
57;Hon.FS Jackson ;20;33;4;1415;144;4879.0;0;0.0;5;6;3;51;0;1893;1905;ENG;12
58;TT Samaraweera ;81;132;20;5462;231;4876.0;11641;46.92;14;30;11;633;7;2001;2013;SL;12
59;RN Harvey ;79;137;10;6149;205;4841.0;1799;43.74;21;24;7;427;1;1948;1963;AUS;15
60;KD Walters ;74;125;14;5357;250;4826.0;8662;49.16;15;33;4;525;23;1965;1981;AUS;16
61;GC Smith ;117;205;13;9265;277;4825.0;15525;59.67;27;38;11;1165;24;2002;2014;ICC/SA;12
62;WH Ponsford ;29;48;4;2122;266;4822.0;3118;44.77;7;6;1;119;0;1924;1934;AUS;10
63;SJ McCabe ;39;62;5;2748;232;4821.0;3217;60.02;6;13;4;241;5;1930;1938;AUS;8
64;DR Jardine ;22;33;6;1296;127;4800.0;2110;25.59;1;10;2;53;0;1928;1934;ENG;6
